ITEM_CD,ITEM_NM,ITEM_GROUP_NM,SPEC,BASIC_UNIT,HS_CD
2611550,"HOSE,SPRING/D32XP350XL1400 3/5",SB130,D32XP350XL1400 3/5,EA,8431.49-9000
2681028,"HOSE,SPRING/D6XP210XL550 5/5",SB151,D6XP210XL550 5/5,EA,8431.49-9000
2681030,"HOSE,SPRING/D6XP210XL600 5/5",SB151,D6XP210XL600 5/5,EA,8431.49-9000
2685027,"HOSE,SPRING/D6XP210XL500 5/905",SB151,D6XP210XL500 5/905,EA,8431.49-9000
2698019,HOSE SET/SB50/ROBEX1300W,SB50,,EA,
2698020,HOSE SET/SB50/ROBEX1300LC-3,SB50,,EA,
2698138,HOSE SET/SB50/ROBEX1300LC,SB50,,EA,
2698147,HOSE SET/SB120/CAT325,SB125,,EA,
2698164,HOSE SET/SB50/MX132W,SB50,,SET,
2698221,HOSE SET/SB40/HE50WA,SB40,,EA,
2698223,HOSE SET/SB50/EX100,SB50,,EA,
2700657,"BUSHING,03/O-PF1-1/4XPT1",SB130,O-PF1-1/4XPT1,EA,
2710502,"ADAPTER,H,01/O-UNF7/8-14XPF1/2",SB40,"UNF7/8-14XPF1/2, S20C, -",EA,
2711802,"ADAPTER,H,40/PT3/4XUNF1-3/16-12N #3",SB50,PT3/4XUNF1-3/16-12N #3,EA,
2730454,"ADAPTER,W,91/R21XUNF1-3/16-12N #3",SB50,R21XUNF1-3/16-12N #3,EA,
2811007,"PACKING,U/NOK,IDI/125X140X10",SB60,"NOK,IDI/125x140x10, Urethane, -",EA,8431.49-9000
2811007ES,"PACKING,U/NOK,IDI/125X140X10",SB60,"NOK,IDI/125x140x10, URETHANE, -",EA,8431.49-9000
2811009,"PACKING,U/NOK,ISI/75X85X6 FU090",SB43,"NOK ISI 75X85X6, 05ZF, -",EA,8431.49-9000
2811009ES,"PACKING,U/NOK,ISI/75X85X6 FU090",SB43,"NOK ISI 75X85X6, 05ZF, -",EA,8431.49-9000
2811010,"PACKING,U/SB30/FU0679KO/NOK,ISI53X63X6",SB30,"NOK ISI 53X63X6, U801, -",EA,
2811010ES,"PACKING,U/SB30/FU0679KO/NOK,ISI53X63X6",SB30,"NOK ISI 53X63X6, U801, -",EA,8431.49-9000
2811012,"PACKING,U/SB100/NOK,ISI/150X165X9",SB100,"NOK,ISI/150X165X9",EA,8431.49-9000
2811014,"PACKING,U/NOK,IUIS/135X150X9/U641",SB70,"NOK,IUIS/135X150X9",EA,8431.49-9000
2811015,"SEAL,STEP/SB70/NOK,SPNS-133X148.5X5/19YF",SB70,"NOK,SPNS-133X148.5X5",EA,8431.49-9000
2811016,"SEAL,STEP/SB10/NOK,SPNS-37/19YF",SB10,"NOK,SPNS-37",EA,8431.49-9000
2811018,"PACKING,U/NOK,ISI/50X60X6/U801",SB30,"NOK ISI 50*60*6, U801, -",EA,8431.49-9000
2811018ES,"PACKING,U/NOK,ISI/50X60X6/U801",SB30,"NOK ISI 50*60*6, U801, -",EA,8431.49-9000
2811019,"SEAL,STEP/SB35/NOK,SPNS-57/19YF",SB35,"NOK,SPNS-57",EA,8431.49-9000
2811020,"SEAL,STEP/SB40/NOK,SPNS-68/19YF",SB40,"NOK,SPNS-68",EA,8431.49-9000
2811021,"SEAL,STEP/SB43/NOK,SPNS-73/19YF",SB43,"NOK,SPNS-73",EA,8431.49-9000
2811022,"SEAL,STEP/SB45/NOK,SPNS-83.5/19YF",SB45,"NOK,SPNS-83.5",EA,8431.49-9000
2811023,"SEAL,STEP/SB60/NOK,SPNS-123.5/19YF",SB60,"NOK,SPNS-123.5",EA,8431.49-9000
2811024,"SEAL,STEP/SB81/NOK,SPNS-138/19YF",SB81,"NOK,SPNS-138",EA,8431.49-9000
2811025,"SEAL,STEP/SB100/NOK,SPNS-147/19YF",SB100,"NOK,SPNS-147",EA,8431.49-9000
2811026,"SEAL,STEP/SB125/NOK,SPNS-157/19YF",SB125,"NOK,SPNS-157",EA,8431.49-9000
2811027,"SEAL,STEP/SB130/NOK,SPNS-167/19YF",SB130,"NOK,SPNS-167",EA,8431.49-9000
2811028,"SEAL,STEP/SB151/NOK,SPNS-177/19YF",SB151,"NOK,SPNS-177",EA,8431.49-9000
2811031,"PACKING,U/SB40/NOK,IUIS/70X80X6/U641",SB40,"NOK IUIS 70*80*6, U641, -",EA,8431.49-9000
